,Indicative,Sentences in biz,Indicative ADJP - deep extraction,Indicative ADJP - shallow extraction,Manually laballed ADJP
83,FALSE,The wait for the food was a bit long but again because it was Father's Day they were at max capacity but the entire staff was hustling.,-,-,a bit long 
84,FALSE,The food was really very good !,-,-,really very good
85,FALSE,"I had the county mile, waffles, chicken, sausage gravy, and eggs over easy on top.",-,-,
86,FALSE,Delicious!,-,-,Delicious!
87,FALSE,I would go back again and recommend to friends and family,-,-,
88,FALSE,My eggs Benedict was cold.,-,-,cold
89,FALSE,Manager came by and replaced my meal and did not charge me.,-,-,
90,FALSE,Second time around was great!,-,-,great
91,FALSE,Food took an hour to come out of the kitchen.,-,-,
92,FALSE,It was sitting there for a good 10 minutes.,-,-,
93,FALSE,We finally went up to the kitchen and asked for our food and showed out anger; afterwards the manager came up to us and offered to take care of our bill!,-,-,
94,FALSE,"Service was slow and staffing does need practice, but manager sure knows what he is doing!",-,-,slow
95,FALSE,I do recommend this place for big parties or people with big appetites.,-,-,
96,FALSE,I rate this at 3 stars because of the little dilemma with the food but overall this place was delicious!,-,-,delicious 
97,FALSE,The waffles were great....,-,-,great
98,TRUE,they were light and flavorful.,light and flavorful,light and flavorful,light and flavorful 
99,FALSE, Wait staff was cheerful and actually looked like they enjoyed being there....,-,-,
100,FALSE,saturday noon the place was full,-,-,
101,FALSE,This place has great food!,-,-,great food
102,FALSE,They have so many options which  I love and we got a whole bottle of syrup so we never ran out which I loved and they have the best waffles here they are so good!,-,-,so good
103,FALSE,The service was really good and you can also customize your own omelette.,-,-,really good
104,FALSE,"The food is delicious, and they even had a vegan waffle option which is rare.",-,-,delicious
105,FALSE,I definitely recommend this place!,-,-,
106,FALSE,Poor first impression: Staff doesn't seem interested in keeps by clientele happy.,-,-,poor
107,FALSE, It likely ruined my whole experience.,-,-,
108,FALSE,"
",-,-,
109,TRUE,The hostess was slow to seat us despite there being many empty tables.,slow to seat us despite there being many empty tables,slow to seat us despite there being many empty tables,slow to seat us despite there being many empty tables
110,FALSE, I watched one potential customer turn around out the door when he saw us and one other person waiting to be seated.,-,-,
111,TRUE, Our waitress showed up quickly but I was 'advised' there were many people ahead of me for a latte (really- one machine?) and it might arrive after our food.,really one,really one,
112,FALSE,  ,-,-,
113,FALSE,That said my daughter's oj showed up well after the people seated next to and after us got their drinks.,-,-,
114,FALSE, I declined a drink (what ever happened to cranberry juice?) and looked over the food menu.,-,-,
115,FALSE, I can't say the options were all that impressive-  fats and sugars smothering bread for most of it.,-,-,
116,FALSE, Diabetes waiting to happen for about $10-11 a plate.,-,-,
117,FALSE,  ,-,-,
118,TRUE,When I finally got to order I asked for a cup of coffee with a shot of peppermint-  ok European cup sizes with mediocre coffee overwhelmed by huge shot of peppermint and no offer of creamer.,peppermint ok,peppermint ok,
119,FALSE, I finally had to ask for creamer.,-,-,
120,FALSE,"

",-,-,
121,FALSE,Then the food arrived and it was tasty.,-,-,tasty
122,FALSE, A bit more oil was left on my plate than I'd like but overall the food was good.,-,-,
123,TRUE, Certainly better than the service but not necessarily enough to sending be rushing back.,better than the service but not necessarily enough,better than the service but not necessarily enough,better than the service but not necessarily enough
124,FALSE,"For the price, I'd rather head to First Watch.",-,-,
125,FALSE, The food and service is a lot better.,-,-,
126,FALSE,Every time I go here the food is phenomenal.,-,-,phenomenal 
127,FALSE,I have never had a dish that disappointed me.,-,-,
128,TRUE,From savory to sweet they have it all!,savory to sweet,savory to sweet,savory to sweet
129,FALSE,I always use the Nowait app and never have a problem getting seated.,-,-,
130,FALSE,I always give this place a chance in hopes to get a better service..,-,-,better 
131,FALSE,but it's always a disappointment.,-,-,
132,FALSE,Their food is usually really good.,-,-,usually really good
133,TRUE,"Except today, we got a side of fruit salad and all the grapes were moldy and rotten.",moldy and rotten,moldy and rotten,moldy and rotten 
134,FALSE,We mentioned it to our sever and she just said she will let them know.,-,-,
135,FALSE,"Manager didn't even come out to apologize, our server didn't even apologize and gave zero care.",-,-,
136,TRUE,She was very short with us and very miserable.,very short with us and very miserable,very short with us and very miserable,"very short, very miserable"
137,FALSE,I was being polite the whole time,-,-,polite 
138,FALSE,but she just gave us a terrible service.,-,-,terrible 
139,FALSE,"Also, they told us they took out the grapes out of the fruit salad..",-,-,
140,FALSE,"I said ""well, the grapes were covered in mold and you're going to just take the grapes out and serve rest of the fruit?""",-,-,
141,FALSE,And she ignored me and left.,-,-,
142,FALSE,Someone is going to get sick...,-,-,sick
143,TRUE,Will not be going back to waffles inc.,back to waffles inc,back to waffles inc,
144,FALSE,Another great experience at WI.,-,-,great
145,FALSE,"I love the fact you can check in with the No Wait app, limits the amount of time you have to wait for a table.",-,-,
146,FALSE,"Tried 2 new waffles, the December monthly special Fig waffle and the Country Benedict.",-,-,
147,FALSE,Loved them both.,-,-,
148,FALSE,Just an fyi the military discount here is 10% every day and 40% when in uniform!,-,-,
149,TRUE,The food here is just decent.,just decent,-,just decent 
150,FALSE," I got the ""Benny"", which is eggs benedict on a waffle.",-,-,
151,TRUE, The waffle was a bit softer than I like but the toppings were ok.,a bit softer than i like,a bit softer than i like,a bit softer than i like
152,FALSE, ,-,-,
153,FALSE,"I ordered homes fries and bacon on the side, those were actually the best part of the meal for me.",-,-,best part
154,FALSE," On the plus side, service was very good and they accommodated our every need.",-,-,
155,FALSE,This is a five star breakfast place.,-,-,five star
156,FALSE, ,-,-,
157,FALSE,The gluten free waffles are excellent and the house made syrup.,-,-,"gluten free, excellent, house made"
158,FALSE, Highly recommend the potatoes.,-,-,
159,FALSE, Definitely coming back.,-,-,
160,FALSE,"Great food, nice service, simple menu.",-,-,"Great food, nice service, simple menu."
161,FALSE," My only complaint was that the side order of eggs was small, but everything else was big.",-,-,
162,FALSE,  ,-,-,
163,FALSE,Definitely making this a common stop for breakfast.,-,-,
164,FALSE,This was my second time at Waffles INCaffeinated,-,-,
165,TRUE,and i was highly disappointed this time considering my first experience here was great.,highly disappointed this time considering my first experience here was great,highly disappointed this time considering my first experience here was great,highly disappointed
166,FALSE,"I came with my friend and her husband, and we had asked for a larger end table, since my friend and I are immunosuppressed.",-,-,larger end
167,FALSE,"While the hostess (brown/red hair and freckles) couldn't have guessed that, the eye rolling and annoyed attitude should not have been present.",-,-,annoyed
168,FALSE,"Once we were seated, it took forever for our waitress to appear to take our drink order, at least 20 minutes.",-,-,
169,FALSE,"While we were eating, we could see and hear our initial hostess and another waitress badmouthing one of their customers and laughing about it.",-,-,
170,FALSE,"The food was great, but the waffles have significantly reduced in size, and the lack of service  (my friend's husband never did get his water) made me realize that this place is not worth visiting again.",-,-,
171,FALSE,Maybe another location.,-,-,
172,FALSE,"Waffles were mushy,,coffee was cold ,ordered blueberry topping the waffles came out with a drip of sauce over it.asked for more sauce charged me extra for it.my grandkids had French toast ,came out with no syrup.the total meal was $32.00 extremely overpriced.",-,-,
173,FALSE,Will not return.,-,-,
174,FALSE,Waiter was nice though.,-,-,nice
175,FALSE,I had no idea a Waffles INCaffeinated was coming to the Wexford area.,-,-,
176,FALSE,I've never been to one before,-,-,
177,FALSE,but I have heard of it.,-,-,
178,FALSE,"I was on the NoWait app the other day going somewhere else for breakfast and Waffles INC popped up (Yes, they are on NoWait!).",-,-,
179,FALSE,I didn't go that day but told myself to try it soon.,-,-,
180,FALSE,"

I tried it today and I was pleasantly surprised.",-,-,pleasantly surprised
181,FALSE,It's located in the plaza right in front of North Allegheny Senior High School.,-,-,
182,FALSE,"If you drive too fast, you might miss it.",-,-,too fast
183,FALSE,The sign outside is a little small.,-,-,little small
184,TRUE,The environment itself is pretty small too but quaint enough to be a nice-sized diner.,nice-sized,nice-sized,nice-sized
185,FALSE,It wasn't too busy so we sat down right away.,-,-,too busy
186,FALSE,"

",-,-,
187,FALSE,"They have  a large menu filled with unique breakfast items like chicken and waffles, Eggs Benedict called ""Benny"" with a waffle substituted for the english muffin and topped with crab, and the ""Breakfast Magic,"" which is what I got.",-,-,
188,FALSE,"It's a waffle with bacon, cheddar cheese, and green onions cooked into the waffle topped with more bacon and cheese as well as a sunny-side-up egg.",-,-,
189,FALSE,"You can even create your own waffles, omelettes, and crepes with a large array of fillings and toppings.",-,-,large array
190,FALSE,"Also, the portion sizes are pretty large.",-,-,pretty large
191,FALSE,"

I'm a big coffee person so great coffee is key.",so great,so great,so great
192,FALSE,They have their own brew and I approve of it.,-,-,
193,FALSE,You can even pay fifty cents extra to include a shot of flavoring such as gingerbread.,-,-,
194,FALSE,You are given a small cup full of the syrup so you can accordingly add it to your coffee.,-,-,
195,TRUE,The coffee cups are a little small for my preference but the coffee itself is great.,a little small for my preference but the coffee itself is great,a little small for my preference but the coffee itself is great,a little small for my preference but the coffee itself is great
196,FALSE,"

",-,-,
197,FALSE,"If you're looking to try something different for brunch other than your typical eggs and bacon, try this place!",-,-,
198,FALSE,"First impressions are everything....


",-,-,
199,FALSE,The establishment is cold feeling.,-,-,
200,TRUE,Cool blue walls might be fine in summer but not fall and winter.,fine in summer,fine in summer,
201,FALSE,"Noise, hard floors, loud music and bright spot lights on customers equal a non inviting environment 

Harsh kitchen smells, tiny coffee cups .",-,-,
202,FALSE,"They aren't insulated either, our coffee was never hot .",-,-,never hot
203,TRUE,"

I know too much about the hospitality industry",too much about the hospitality industry,too much about the hospitality industry,
204,FALSE,"and I spot flaws 

",-,-,
205,FALSE,"The chairs were very uncomfortable 

",-,-,
206,TRUE,The menu is different than many.,different than many,different than many,different than many
207,FALSE,3 eggs instead of 2 .,-,-,
208,FALSE,The continental breakfast doesn't have an add waffle option.,-,-,
209,TRUE,"The oj was watered down, not fresh
",watered down not fresh,watered down not fresh,watered down not fresh
210,FALSE,"They brush your waffle with butter, I'd rather do it myself 

",-,-,
211,FALSE,"The food is presented nicely, very nicely.",-,-,nicely 
212,FALSE,"

.?",-,-,
213,FALSE,Why is the vanilla maple syrup clear?,-,-,clear
214,FALSE,"

Why on.",-,-,
215,TRUE,"Earth is the maple syrup, all3 of them so watery?",so watery,-,so watery 
216,FALSE,To cut costs?,-,-,
217,FALSE,This was my favorite place for breakfast.,-,-,
218,FALSE,"However today, I ordered the benny.",-,-,
219,FALSE,It was ice cold.,-,-,ice cold
220,TRUE,"I asked for my bacon crispy, but it was also cold and limp.",cold and limp,cold and limp,"crispy, cold and limp "
221,TRUE,"The potatoes were good, but cold.",good but cold,good but cold,good but cold
222,FALSE, My friend told the waitress she doesn't like oniond but the dish she suggested was filled with them.,-,-,
223,FALSE,And cold.,-,-,cold
224,FALSE,Our dishes shoulda been warm.,-,-,warm
225,FALSE, I have had better meals for less at dennys,-,-,
226,FALSE,I met a friend for a mid-monday lunch.,-,-,
227,FALSE, Breakfast was the food of choice since it was his birthday!,-,-,
228,FALSE, I have never been a big waffles person.,-,-,
229,FALSE, (No to pancakes too)  But - being that I was at a waffle place - I felt like it was inevitable that I get waffles.,-,-,
230,FALSE,"

IF i am going to eat waffles - I like them with some crunch.",-,-,
231,TRUE, My megaberry waffles - while beautiful was relatively soggy.,relatively soggy,relatively soggy,relatively soggy
232,FALSE," I know it had some reduction on it - that helped with the ""soggieness""  but the outside could have still had a bit of crunch - right?",-,-,
233,FALSE, ,-,-,
234,FALSE,Maybe that's just my preference.,-,-,
235,FALSE,"

While I didn't finish my waffles - I did finish the scrumptious berries!",-,-,
236,FALSE, My friend got the Chicken and waffles and devoured it.,-,-,
237,FALSE,"

",-,-,
238,FALSE,They were not busy - granted it was a Monday.,busy granted,busy granted,
239,FALSE, I can see it being packed on the weekendds.,-,-,
240,FALSE, The service was great.,-,-,
241,FALSE,  ,-,-,
242,FALSE,I would definitely go back - but go for their non-waffle selection next time ;),-,-,
243,FALSE,I ate here with my wife for Sunday brunch.,-,-,
244,FALSE,We ended up going to north park in the morning and watched the wait time decrease on the yelp app from 45 minutes down to 0.,-,-,
245,TRUE,That is a VERY useful feature!!!,very useful,very useful,VERY useful
246,TRUE,We were seated quickly and the inside is a little small and fairly packed in with tables.,a little small and fairly packed in with tables,a little small and fairly packed in with tables,"a little small, fairly packed in with tables"
247,FALSE,"

I'm not a huge sweet person for breakfast, but I do love chocolate chips in my pancakes and the funky monkey waffle sounded amazing!",-,-,
248,TRUE,I ended up going with the chicken and waffles instead since this isn't too popular a dish in the Pittsburgh area.,too popular,-,too popular
249,FALSE,My wife and I shared a side of home fries as well.,-,-,
250,TRUE,The waffle was huge and tasty; a great combination of sweet and savory together.,huge and tasty,huge and tasty," huge and tasty, sweet and savory"
251,FALSE, There were 4 large chicken strips on the waffle as well as scallions.,-,-,
252,TRUE,I liked the vanilla syrup better than the maple and the home fries were good as well.,better than the maple,better than the maple,"better, good"
253,TRUE,My wife had half the berry waffle which looked great for a sweet tooth like hers.,great for a sweet tooth,great for a sweet tooth,"great, sweet tooth"
254,FALSE,"

I liked my experience here.",-,-,
255,TRUE,Prices are a little higher than what I typically would like to spend but the food quality is definitely there with some unique dishes.,a little higher than what i typically would like to spend,a little higher than what i typically would like to spend,"a little higher than what I typically would like to spend, definitely there"
256,FALSE,The unique part makes this a worthwhile stop if you are a fan of waffles!,-,-,worthwhile 
257,FALSE,I had the Megaberry... incredible!,-,-,incredible
258,FALSE," Waffle was light and fluffy, berries delicious topped with whipped topping.",-,-,
259,FALSE,Busy but service was friendly and attentive.,-,-,"busy, friendly and attentive"
260,FALSE,We'll be back!,-,-,
261,FALSE,"Great food and excellent service, kept the coffee coming!!",-,-,"great, excellent"
262,FALSE,I can't wait to try the many other options that are available.,-,-,"many other, available"
263,FALSE,I don't know what brand of coffee they serve,-,-,
264,FALSE,but I seriously love it.,-,-,
265,FALSE,"I checked in with the NoWait app, which has recently partnered with Yelp, but when we got there, the hostess reported that it hadn't registered me as checked in.",-,-,
266,FALSE,"Frustrating, but he sat us within 8-10 minutes of coming here, and was very friendly and accommodating about it.",-,-,very friendly and accommodating
267,FALSE,We ordered the caprese crab omelette and toast as well as a cinnamon waffle with whipped cream.,-,-,
268,TRUE,"Both were decently satisfying, and the maple syrup felt delightfully light in comparison to most store bought syrups.",delightfully light,delightfully light,"decently satisfying, delightfully light"
269,TRUE,"However, the portion size of the omelette was quite small, and we thought it would be larger since my father and I were sharing it.",larger since my father,larger since my father,quite small
270,FALSE,"Overall, welcoming place, a cool little waffle joint.",-,-,"welcoming place, cool little"
271,FALSE,I'll have to come back to review it again!,-,-,
272,FALSE,Absolutely delicious breakfast.,-,-,Absolutely delicious
273,FALSE,"Ingredients are fresh, dishes are creative.",-,-,"fresh, creative"
274,FALSE,This place brought me back to breakfast.,-,-,
275,FALSE,My 6 year old loves it too.,-,-,
276,FALSE,From the Eggs to the bacon to the waffles and chicken!,-,-,
277,FALSE,We will be back.,-,-,
278,FALSE,It'll be hard for me to go anywhere else for breakfast.,-,-,hard
279,FALSE,If you are in the mood for a good waffle then by all means try this place.,-,-,good
280,FALSE,"However, the ventilation, or lack off, would ruin even the best food.",-,-,"lack off, best"
281,FALSE,The place has an over-powering smell of fried food.,-,-,over-powering smell
282,FALSE,The smell is so strong that you are reminded of your meal throughout the day; the smell becomes immersed in hair and clothing.,-,-,so strong
283,TRUE,The server was very pleasant and prompt.,very pleasant and prompt,very pleasant and prompt,very pleasant and prompt
284,FALSE,"The place is known for waffles, which I suggest you stick to.",-,-,
285,TRUE,The $12 omelet was just okay and somewhat lackluster.,just okay and somewhat lackluster,just okay and somewhat lackluster,"just okay, somewhat lackluster"
286,FALSE,This is one of my favorite places to go for breakfast.,-,-,
287,FALSE,Our go to waffles are the chicken and waffles and eggs benny.,-,-,
288,FALSE,Delicious creative menu that you aren't likely to make at home with amazing specialty syrups (we get every one for different bites)!,-,-,"Delicious creative, amazing"
289,FALSE,"The food is excellent, but the service puts Waffles INCaffeinated far above any other restaurant in the area.",-,-,"excellent, far above any other restaurant in the area"
290,FALSE ,Quick service and everyone is so friendly that we feel welcome the moment we walked in the door.,-,-,"Quick , so friendly, feel welcome"
291,FALSE,Highly recommend,-,-,
292,FALSE,My wife and I came here for the first time this morning.,-,-,for the first time
293,FALSE,She had the BC Breakfast while I ordered Crepes with cream cheese and blueberries.,-,-,
294,FALSE,It took nearly 45 minutes before we were served the breakfast.,-,-,
295,FALSE,"(To be fair, the restaurant had a large number of patrons.)",-,-,large number
296,TRUE,My wife found her breakfast quite satisfying.,quite satisfying,quite satisfying,quite satisfying
297,TRUE,"I wish I could say the same about my crepes which were small and leathery, the toughest crepes I have ever had.",small and leathery,small and leathery,"small and leathery, toughest"
298,FALSE,"The blueberries were tasteless, the creme cheese sparse.",-,-,"tasteless, sparse"
299,TRUE,The presentation on a large square plate made the crepes look even smaller.,even smaller,even smaller,"large square, look even smaller"
300,FALSE,"The coffee cups were also small, certainly the smallest I have ever used in a breakfast restaurant.",-,-,small
301,TRUE,"My wife found the over-easy eggs satisfying, and considered the home-fried potatoes among the best-tasting of any she's had in a restaurant.","home fried, best tasting","home fried,  best tasting","home fried,  best tasting"
302,FALSE,"Because the restaurant was crowded, the noise level made conversation difficult.",-,-,"crowded, difficult"
303,FALSE,"Food was amazing, but the ticket time was terrible.",-,-,"amazing, terrible"
304,FALSE,"We order and 20 minutes later the waitress came to apologize and said ""our ticket times are slow today"" it took 50 minutes from the time we ordered until served.",-,-,slow 
305,TRUE,"The waitress was great, food was amazing, but kitchen was terrible in speed.",terrible in speed,terrible in speed,"great, amazing, terrible in speed"
306,FALSE,Wow this place is bad!,-,-,bad
307,FALSE,My dad ordered a waffle with fried egg on top.,-,-,
308,FALSE,Seems pretty simple.,-,-,pretty simple
309,FALSE,Instead he gets an omelette with fried egg on top (wtf).,-,-,
310,FALSE,The server didn't apologize once.,-,-,
311,FALSE,Everybody at the table ordered toast and they didn't pre-butter it.,-,-,
312,FALSE,"No problem, so we asked for butter.",-,-,
313,FALSE,Server brings 2 cups of melted butter (wtf).,-,-,melted
314,FALSE,I guess you pour the butter on the toast?,-,-,
315,FALSE,Or dip it?,-,-,
316,FALSE,Either way the food was a glorified Denny's.,-,-,a glorified Denny's
317,FALSE,I almost never give bad reviews,-,-,bad
318,TRUE,but this was just horrible.,just horrible,just horrible,just horrible
319,FALSE,Stay far away,-,-,
320,FALSE,I love this place!,-,-,
321,FALSE, The portions are generous and the food is amazing.,-,-,
322,FALSE," The chicken and waffles may be my favorite, but everything I've had has been very good.",-,-,
323,FALSE," I don't normally like 'breakfast potatoes', but they take it to a whole new level and I love them!",-,-,
324,TRUE," For the latte drinkers, their signature latte is amazing, hot or cold!",amazing hot or cold,amazing hot or cold,
325,FALSE,What a unique place for breakfast!!!,-,-,unique
326,FALSE,"While just slightly over priced, the menu gives you a wide variety of meals to choose from!!",-,-,"slightly over priced, wide variety of meals"
327,FALSE, I had the chicken and waffles which was fabulous and the vanilla bean syrup they offer is spot on!  ,-,-,
328,FALSE,While the waitress worked as fast as she could - I do feel that a busy breakfast hour should have more than 2 waitresses working!,-,-,"worked as fast as she could, busy "
329,FALSE, The place lacked in decor that was welcoming and would tie in the unique food with the over all experience of the place!,-,-,
330,FALSE,This location is located in a small strip mall area in Wexford where the parking lot could stand to be slightly larger.,-,-,"small, could stand to be slightly larger"
331,FALSE, ,-,-,
332,FALSE,Most concerning would be the entrance and exit to the parking lot - if you're making a left hand turn from the parking lot you may be waiting for awhile on a busy highway at a busy travel hour.,-,-,busy
333,FALSE, I rated a 4 because my boyfriend and I enjoyed the food so much!,-,-,
334,TRUE,Really poor service.,really poor,-,Really poor
335,TRUE,"It took way to long to get our drinks, foods, and checks and it wasn't even crowded.",even crowded,even crowded," way to long, wasn't even crowded"
336,FALSE,The food was greasy and clearly not well made.,-,-,"greasy, not well made"
337,FALSE,"

",-,-,
338,FALSE,"Honestly, it gets worst.",-,-,worst
339,FALSE,"
",-,-,
340,FALSE,"We were seated in a booth by the kitchen, and it smelled disgusting.",-,-,disgusting
341,TRUE,"On top of that, the booth was too high off of the ground and I was wearing a cashmere sweater and I had to lean forward so much that my back ached, and combined with the incredibly long wait, my elbows started to burn because the cashmere was creating a rash from learning over so much.",too high off of the ground,too high off of the ground,too high off of the ground
342,FALSE,"

",-,-,
343,TRUE,Also my legs began to ache because they were disproportional to the ground.,disproportional to the ground,disproportional to the ground,disproportional to the ground
344,FALSE,"

I feel like crying.",-,-,
345,FALSE,"In a half empty restaurant, we were told that even though we could be seated, it would probably be at least 30 minutes before we would be served because they only have 6 waffle makers.",-,-,half empty
346,FALSE,"How does a WAFFLE restaurant only have the capacity to make 6 waffles at a time, when that's essentially the only thing they serve?",-,-,
347,FALSE," That might get you through on a Tuesday, but Saturday morning during brunch time you're basically turning away customers who will never come back given the plethora of options.",-,-,
348,FALSE,What to do on Super Bowl Sunday when the Steelers aren't in it?,-,-,
349,FALSE,Head to Waffles INCaffeinated for brunch.,-,-,
350,FALSE,"

This location is in a small strip mall - that it is literally in front of North Allegheny High School.",-,-,
351,TRUE,"There's a small parking lot, but we able to grab a spot.",able to grab a spot,able to grab a spot,able to grab a spot
